Location,Longitude,Latitude,Type of Location
The Arbor,34.41416277,-119.8464484,Pick Up
The Amazon Locker,34.41097048,-119.8555478,Pick Up
Bren Hall,34.4132212,-119.8421892,Drop Off
Multicultural Center,34.41154802,-119.8466328,Drop Off
Ellison Hall,34.41580105,-119.8452931,Drop Off
